kegg	aracyc	name	source	gene_count	genes
	aracyc:ETHYL-PWY	ethene biosynthesis I (plants)	AraCyc	23	AT1G05010,AT1G12010,AT1G62380,AT1G62960,AT1G77330,AT2G19590,AT2G36880,AT3G17390,AT3G49620,AT3G49630,AT3G49700,AT3G50210,AT3G61510,AT4G01850,AT4G08040,AT4G11280,AT4G16765,AT4G16770,AT4G26200,AT4G35830,AT4G37770,AT5G51690,AT5G65800
	aracyc:FASYN-ELONG-PWY	fatty acid elongation -- saturated	AraCyc	15	AT1G07440,AT1G10310,AT1G62610,AT1G63380,AT2G04540,AT2G05990,AT2G17845,AT2G22230,AT3G45770,AT3G46170,AT3G55290,AT3G55310,AT5G10160,AT5G60335,AT5G64250
	aracyc:GLNSYN-PWY	L-glutamine biosynthesis I	AraCyc	1	AT1G48470
	aracyc:GLUCONEO-PWY	gluconeogenesis I	AraCyc	48	AT1G04410,AT1G08940,AT1G09780,AT1G13440,AT1G16300,AT1G43670,AT1G53240,AT1G56190,AT1G74030,AT1G79530,AT1G79550,AT1G79750,AT2G01140,AT2G19900,AT2G21170,AT2G21330,AT2G22780,AT2G29560,AT2G36460,AT2G36530,AT3G04120,AT3G04530,AT3G05170,AT3G08590,AT3G12780,AT3G15020,AT3G30841,AT3G47520,AT3G52930,AT3G53910,AT3G54050,AT3G55440,AT4G09520,AT4G24620,AT4G26520,AT4G26530,AT4G37870,AT4G38970,AT5G03690,AT5G09660,AT5G11670,AT5G25880,AT5G42740,AT5G43330,AT5G56720,AT5G58330,AT5G64380,AT5G65690
	aracyc:GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	AraCyc	13	AT1G23190,AT1G47840,AT1G47845,AT1G50460,AT1G70730,AT1G70820,AT2G19860,AT3G20040,AT4G29130,AT4G37840,AT5G17530,AT5G51820,AT5G62573
	aracyc:GLUGLNSYN-PWY	L-glutamate biosynthesis IV	AraCyc	1	AT5G53460
	aracyc:GLUTAMATE-DEG1-PWY	L-glutamate degradation I	AraCyc	1	AT3G03910
	aracyc:GLUTAMINDEG-PWY	L-glutamine degradation I	AraCyc	35	AT1G24807,AT1G24909,AT1G25083,AT1G25155,AT1G25220,AT1G30820,AT1G48520,AT1G63660,AT1G70570,AT2G03667,AT2G28880,AT2G29690,AT2G34890,AT2G38210,AT2G41220,AT3G12670,AT3G16050,AT3G25660,AT3G47340,AT3G55870,AT4G02120,AT4G05400,AT4G20320,AT4G26900,AT4G32915,AT4G34880,AT5G01410,AT5G04140,AT5G05730,AT5G07360,AT5G10240,AT5G53460,AT5G57890,AT5G60540,AT5G65010
	aracyc:GLUTATHIONESYN-PWY	glutathione biosynthesis	AraCyc	1	AT4G23100
	aracyc:GLUTORN-PWY	L-ornithine biosynthesis I	AraCyc	10	AT1G60000,AT1G80600,AT2G19940,AT2G22905,AT2G22910,AT2G37500,AT3G57560,AT4G17830,AT4G37670,AT5G67430
	aracyc:GLYCLEAV-PWY	glycine cleavage	AraCyc	10	AT1G11860,AT1G32470,AT1G48030,AT1G60990,AT2G26080,AT2G35370,AT3G16950,AT3G17240,AT4G16155,AT4G33010
	aracyc:GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	AraCyc	56	AT1G06730,AT1G08940,AT1G09780,AT1G13440,AT1G16300,AT1G19600,AT1G22170,AT1G43670,AT1G56190,AT1G74030,AT1G78050,AT1G79530,AT1G79550,AT2G01140,AT2G21170,AT2G21330,AT2G22480,AT2G29560,AT2G36460,AT2G36530,AT2G36580,AT3G04050,AT3G04120,AT3G05170,AT3G08590,AT3G12780,AT3G25960,AT3G26780,AT3G30841,AT3G49160,AT3G52930,AT3G52990,AT3G54050,AT3G55440,AT3G55650,AT3G55810,AT4G09520,AT4G24620,AT4G26270,AT4G26390,AT4G26520,AT4G26530,AT4G27600,AT4G29220,AT4G32840,AT4G38970,AT5G03690,AT5G08570,AT5G42740,AT5G47810,AT5G56350,AT5G56630,AT5G61580,AT5G62840,AT5G63680,AT5G64380
	aracyc:GLYOXDEG-PWY	glycolate and glyoxylate degradation II	AraCyc	1	AT5G03860
	aracyc:GLYOXYLATE-BYPASS	glyoxylate cycle	AraCyc	21	AT1G04410,AT1G53240,AT2G05710,AT2G11270,AT2G22780,AT2G42790,AT2G44350,AT3G15020,AT3G21720,AT3G47520,AT3G53910,AT3G58740,AT3G58750,AT3G60100,AT4G26970,AT4G35830,AT5G03860,AT5G09660,AT5G43330,AT5G54950,AT5G56720
	aracyc:GLYSYN-ALA-PWY	glycine biosynthesis III	AraCyc	5	AT1G23310,AT1G70580,AT2G38400,AT3G08860,AT4G39660
	aracyc:GLYSYN-PWY	glycine biosynthesis I	AraCyc	7	AT1G22020,AT1G36370,AT4G13890,AT4G13930,AT4G32520,AT4G37930,AT5G26780
	aracyc:GLYSYN2-PWY	glycine biosynthesis	AraCyc	11	AT1G08630,AT1G22020,AT1G23310,AT1G36370,AT1G70580,AT3G04520,AT4G13890,AT4G13930,AT4G32520,AT4G37930,AT5G26780
	aracyc:HEME-BIOSYNTHESIS-II	heme b biosynthesis I (aerobic)	AraCyc	9	AT1G03475,AT2G30390,AT2G40490,AT3G14930,AT4G01690,AT4G03205,AT4G03240,AT5G14220,AT5G26030
	aracyc:HEXPPSYN-PWY	hexaprenyl diphosphate biosynthesis	AraCyc	2	AT1G17050,AT1G78510
	aracyc:HISTSYN-PWY	L-histidine biosynthesis	AraCyc	11	AT1G09795,AT1G31860,AT1G58080,AT1G71920,AT2G36230,AT3G22425,AT4G14910,AT4G26900,AT4G39120,AT5G10330,AT5G63890
	aracyc:HOMOSER-THRESYN-PWY	L-threonine biosynthesis	AraCyc	4	AT1G72810,AT2G17265,AT4G29840,AT4G35295
	aracyc:HOMOSERSYN-PWY	L-homoserine biosynthesis	AraCyc	6	AT1G31230,AT3G02020,AT4G19710,AT5G13280,AT5G14060,AT5G21060
	aracyc:ILE-VAL-PWY	superpathway of isoleucine and valine biosynthesis	AraCyc	7	AT1G10060,AT1G10070,AT3G23940,AT3G48560,AT3G49680,AT3G58610,AT5G65780
	aracyc:ILEUDEG-PWY	L-isoleucine degradation I	AraCyc	9	AT1G04710,AT1G10060,AT1G10070,AT2G33150,AT3G49680,AT5G47720,AT5G48230,AT5G48880,AT5G65780
	aracyc:ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	AraCyc	6	AT1G10060,AT1G10070,AT3G23940,AT3G48560,AT3G49680,AT5G65780
	aracyc:LEU-DEG2-PWY	L-leucine degradation I	AraCyc	13	AT1G10060,AT1G10070,AT1G50090,AT1G50110,AT1G70560,AT2G26800,AT3G05190,AT3G19710,AT3G45300,AT3G49680,AT4G16800,AT5G27410,AT5G65780
	aracyc:LEUSYN-PWY	L-leucine biosynthesis	AraCyc	18	AT1G10060,AT1G10070,AT1G31180,AT1G50090,AT1G50110,AT1G68490,AT1G70560,AT1G80555,AT1G80560,AT2G43090,AT2G43100,AT3G05190,AT3G19710,AT3G49680,AT3G58990,AT5G14200,AT5G27410,AT5G65780
	aracyc:LIPAS-PWY	triacylglycerol degradation	AraCyc	44	AT1G05790,AT1G05800,AT1G06250,AT1G06800,AT1G08310,AT1G18360,AT1G21390,AT1G30370,AT1G33990,AT1G51440,AT1G61850,AT1G76980,AT1G78210,AT2G15230,AT2G18360,AT2G26560,AT2G30550,AT2G31100,AT2G31690,AT2G39220,AT2G42450,AT3G14075,AT3G44510,AT3G49050,AT3G54950,AT3G63200,AT4G00500,AT4G09900,AT4G16070,AT4G16820,AT4G17150,AT4G18550,AT4G19420,AT4G29800,AT4G36610,AT4G37050,AT4G37060,AT5G04040,AT5G11650,AT5G37710,AT5G38360,AT5G42930,AT5G43590,AT5G67050
	aracyc:LIPASYN-PWY	phospholipases	AraCyc	59	AT1G02660,AT1G05800,AT1G06250,AT1G06800,AT1G07230,AT1G10040,AT1G10740,AT1G23330,AT1G27480,AT1G29120,AT1G30370,AT1G31480,AT1G33270,AT1G34340,AT1G51440,AT1G52570,AT1G52700,AT1G55180,AT1G61850,AT2G03140,AT2G06925,AT2G19690,AT2G26870,AT2G30550,AT2G31690,AT2G40116,AT2G42690,AT3G03310,AT3G03370,AT3G03520,AT3G03530,AT3G03540,AT3G05630,AT3G27325,AT3G47220,AT3G47290,AT3G48610,AT3G50790,AT3G55940,AT3G61680,AT3G62590,AT4G00240,AT4G11830,AT4G11840,AT4G16820,AT4G19860,AT4G25770,AT4G29460,AT4G29470,AT4G34930,AT4G38530,AT5G18630,AT5G18640,AT5G25370,AT5G42930,AT5G49950,AT5G51180,AT5G58690,AT5G58700
	aracyc:LYSINE-DEG2-PWY	lysine degradation II	AraCyc	5	AT1G76150,AT3G06860,AT4G33150,AT5G47720,AT5G48230
	aracyc:MANNCAT-PWY	D-mannose degradation I	AraCyc	2	AT1G67070,AT3G02570
	aracyc:MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	protein N-glycosylation initial phase (eukaryotic)	AraCyc	14	AT1G02145,AT1G16570,AT1G16900,AT1G78800,AT2G39630,AT2G40190,AT2G41490,AT2G44660,AT2G47760,AT3G57220,AT4G16710,AT5G02410,AT5G14850,AT5G38460
	aracyc:METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)	AraCyc	5	AT2G36880,AT3G17390,AT3G23810,AT4G01850,AT4G13940
	aracyc:NAGLIPASYN-PWY	lipid IVA biosynthesis (E. coli)	AraCyc	9	AT1G24793,AT1G25054,AT1G25145,AT1G25210,AT2G04560,AT3G20480,AT4G05210,AT4G21220,AT4G29540
	aracyc:NONMEVIPP-PWY	methylerythritol phosphate pathway I	AraCyc	10	AT1G63970,AT2G02497,AT2G02500,AT2G26930,AT3G02780,AT3G21500,AT4G15560,AT5G11380,AT5G16440,AT5G62790
	aracyc:NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch) I	AraCyc	12	AT1G12230,AT1G63290,AT1G71100,AT2G01290,AT2G45290,AT3G01850,AT3G04790,AT3G04880,AT3G60750,AT5G13420,AT5G44520,AT5G61410
	aracyc:OXIDATIVEPENT-PWY	pentose phosphate pathway (oxidative branch) I	AraCyc	14	AT1G09420,AT1G13700,AT1G24280,AT1G64190,AT3G02360,AT3G27300,AT3G49360,AT5G13110,AT5G24400,AT5G24410,AT5G24420,AT5G35790,AT5G40760,AT5G41670
	aracyc:P401-PWY	cyanide degradation	AraCyc	3	AT3G04940,AT3G61440,AT5G28020
	aracyc:PANTO-PWY	phosphopantothenate biosynthesis I	AraCyc	9	AT1G60440,AT2G17320,AT2G17340,AT2G46110,AT3G61530,AT4G32180,AT4G35360,AT5G34780,AT5G48840
	aracyc:PENTOSE-P-PWY	pentose phosphate pathway	AraCyc	26	AT1G09420,AT1G12230,AT1G13700,AT1G24280,AT1G63290,AT1G64190,AT1G71100,AT2G01290,AT2G45290,AT3G01850,AT3G02360,AT3G04790,AT3G04880,AT3G27300,AT3G49360,AT3G60750,AT5G13110,AT5G13420,AT5G24400,AT5G24410,AT5G24420,AT5G35790,AT5G40760,AT5G41670,AT5G44520,AT5G61410
	aracyc:PHOTOALL-PWY	oxygenic photosynthesis	AraCyc	53	AT1G08380,AT1G08940,AT1G14150,AT1G20020,AT1G30510,AT1G43670,AT1G55670,AT1G56190,AT1G63290,AT1G67090,AT1G71100,AT1G79550,AT2G01140,AT2G01290,AT2G01918,AT2G07732,AT2G21170,AT2G21330,AT2G36460,AT2G45290,AT3G01440,AT3G01850,AT3G04790,AT3G04880,AT3G05170,AT3G12780,AT3G50820,AT3G52930,AT3G54050,AT3G55440,AT3G55800,AT3G60750,AT4G02770,AT4G03280,AT4G05180,AT4G05390,AT4G26520,AT4G26530,AT4G37230,AT4G38970,AT5G03690,AT5G38410,AT5G38420,AT5G38430,AT5G44520,AT5G61410,AT5G64380,AT5G66190,ATCG00210,ATCG00540,ATCG00600,ATCG00720,ATMG00280
	aracyc:PLPSAL-PWY	pyridoxal 5'-phosphate salvage I	AraCyc	4	AT1G06690,AT2G27680,AT2G46580,AT5G49970
	aracyc:POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	AraCyc	12	AT1G23820,AT1G70310,AT2G16500,AT3G17717,AT3G25570,AT4G08870,AT4G08900,AT4G34710,AT5G15950,AT5G18930,AT5G19530,AT5G53120
	aracyc:PROSYN-PWY	L-proline biosynthesis I (from L-glutamate)	AraCyc	3	AT2G39800,AT3G55610,AT5G14800
	aracyc:PROUT-PWY	L-proline degradation I	AraCyc	3	AT3G30775,AT5G38710,AT5G62530
	aracyc:PWY-1001	cellulose biosynthesis	AraCyc	27	AT1G02730,AT1G32180,AT1G55850,AT2G21770,AT2G25540,AT2G32530,AT2G32540,AT2G32610,AT2G32620,AT2G33100,AT3G03050,AT3G28180,AT4G15290,AT4G15320,AT4G18780,AT4G23990,AT4G24000,AT4G24010,AT4G32410,AT4G38190,AT4G39350,AT5G05170,AT5G09870,AT5G16910,AT5G17420,AT5G44030,AT5G64740
	aracyc:PWY-101	photosynthesis light reactions I (plastocyanin)	AraCyc	18	AT1G08380,AT1G14150,AT1G20020,AT1G30510,AT1G55670,AT2G01918,AT3G01440,AT3G50820,AT4G02770,AT4G03280,AT4G05180,AT4G05390,AT4G37230,AT5G66190,ATCG00210,ATCG00540,ATCG00600,ATCG00720
	aracyc:PWY-102	gibberellin inactivation I (2beta-hydroxylation)	AraCyc	16	AT1G02400,AT1G14130,AT1G30040,AT1G47990,AT1G50960,AT1G78440,AT2G34555,AT2G38500,AT3G11150,AT3G21420,AT3G46500,AT3G47190,AT4G21200,AT4G25420,AT5G07200,AT5G58660
	aracyc:PWY-1042	glycolysis IV	AraCyc	51	AT1G06730,AT1G09780,AT1G12000,AT1G13440,AT1G16300,AT1G19600,AT1G20950,AT1G56190,AT1G74030,AT1G76550,AT1G79530,AT1G79550,AT2G01140,AT2G21170,AT2G21330,AT2G22480,AT2G24270,AT2G29560,AT2G36460,AT2G36530,AT2G36580,AT3G04050,AT3G04120,AT3G08590,AT3G12780,AT3G25960,AT3G30841,AT3G49160,AT3G52930,AT3G52990,AT3G55440,AT3G55650,AT3G55810,AT4G04040,AT4G08876,AT4G09520,AT4G26270,AT4G26390,AT4G26520,AT4G26530,AT4G27600,AT4G29220,AT4G32840,AT4G38970,AT5G03690,AT5G08570,AT5G47810,AT5G56350,AT5G56630,AT5G61580,AT5G63680
	aracyc:PWY-1061	homogalacturonan biosynthesis	AraCyc	26	AT1G02720,AT1G06780,AT1G13250,AT1G18580,AT1G19300,AT1G24170,AT1G70090,AT1G74088,AT2G20810,AT2G30575,AT2G38650,AT2G46480,AT3G01040,AT3G02350,AT3G06260,AT3G25140,AT3G28340,AT3G50760,AT3G58790,AT3G61130,AT3G62660,AT4G02130,AT4G38270,AT5G15470,AT5G47780,AT5G54690
	aracyc:PWY-112	lupeol biosynthesis	AraCyc	6	AT1G66960,AT1G78480,AT1G78500,AT1G78960,AT1G78970,AT5G36150
	aracyc:PWY-1121	suberin monomers biosynthesis	AraCyc	59	AT1G01600,AT1G04290,AT1G12570,AT1G14185,AT1G20560,AT1G24735,AT1G33030,AT1G49430,AT1G51680,AT1G51990,AT1G52191,AT1G62940,AT1G63710,AT1G64400,AT1G65060,AT1G67980,AT1G67990,AT1G69500,AT1G72970,AT1G74540,AT1G74550,AT1G77590,AT2G04350,AT2G27690,AT2G29590,AT2G30490,AT2G30720,AT2G37040,AT2G40890,AT2G45970,AT2G47240,AT2G47245,AT3G05970,AT3G09405,AT3G10340,AT3G16175,AT3G21240,AT3G48520,AT3G53260,AT3G56060,AT3G61990,AT3G62000,AT4G00360,AT4G00520,AT4G10030,AT4G11030,AT4G23850,AT4G26220,AT4G33540,AT4G34050,AT5G04230,AT5G09970,AT5G23190,AT5G27600,AT5G48370,AT5G51930,AT5G51950,AT5G54160,AT5G58860
	aracyc:PWY-116	coniferin metabolism	AraCyc	4	AT1G61810,AT4G21760,AT5G26310,AT5G66690
	aracyc:PWY-1186	L-homomethionine biosynthesis	AraCyc	3	AT3G19710,AT3G49680,AT5G23020
	aracyc:PWY-1187	glucosinolate biosynthesis from homomethionine	AraCyc	32	AT1G12130,AT1G12140,AT1G12160,AT1G12200,AT1G18590,AT1G24100,AT1G62540,AT1G62560,AT1G62580,AT1G62600,AT1G62620,AT1G63340,AT1G63370,AT1G63390,AT1G65860,AT1G69820,AT1G74090,AT1G74100,AT1G79370,AT2G20610,AT2G23960,AT2G23970,AT2G24850,AT4G23600,AT4G28410,AT4G29210,AT4G30530,AT4G30540,AT4G30550,AT4G39640,AT4G39650,AT5G07800
	aracyc:PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis	AraCyc	3	AT1G16340,AT1G53000,AT3G54690
	aracyc:PWY-1422	vitamin E biosynthesis (tocopherols)	AraCyc	3	AT2G18950,AT3G11945,AT3G23300
	aracyc:PWY-1581	plastoquinol-9 biosynthesis I	AraCyc	2	AT3G11945,AT3G11950
	aracyc:PWY-1722	formate assimilation into 5,10-methylenetetrahydrofolate	AraCyc	7	AT1G50480,AT2G12200,AT2G12280,AT2G38660,AT3G12290,AT4G00600,AT4G00620
	aracyc:PWY-1741	indole-3-acetate inactivation IX	AraCyc	5	AT1G05530,AT1G05560,AT2G23260,AT2G26790,AT2G31750
	aracyc:PWY-1782	superpathway of indole-3-acetate conjugate biosynthesis	AraCyc	17	AT1G05530,AT1G05560,AT1G28130,AT1G59500,AT2G14960,AT2G23170,AT2G23260,AT2G26790,AT2G31750,AT2G47750,AT4G27260,AT4G37390,AT5G13350,AT5G13360,AT5G13370,AT5G13380,AT5G54510
	aracyc:PWY-1801	formaldehyde oxidation II (glutathione-dependent)	AraCyc	2	AT2G41530,AT5G43940
	aracyc:PWY-181	photorespiration I	AraCyc	23	AT1G11860,AT1G12550,AT1G22020,AT1G23310,AT1G32470,AT1G36370,AT1G68010,AT1G70580,AT1G72190,AT1G79870,AT1G80380,AT2G45630,AT3G25530,AT4G13890,AT4G13930,AT4G32520,AT4G33010,AT4G37930,AT5G26780,AT5G28310,AT5G36700,AT5G36790,AT5G47760
	aracyc:PWY-1822	indole-3-acetate activation I	AraCyc	4	AT1G44350,AT1G51780,AT3G02875,AT5G56650
	aracyc:PWY-2	putrescine degradation IV	AraCyc	3	AT1G74920,AT3G48170,AT4G14940
	aracyc:PWY-2021	indole-3-acetate inactivation IV	AraCyc	12	AT1G28130,AT1G59500,AT2G14960,AT2G23170,AT2G47750,AT4G27260,AT4G37390,AT5G13350,AT5G13360,AT5G13370,AT5G13380,AT5G54510
	aracyc:PWY-2161	folate polyglutamylation	AraCyc	14	AT1G22020,AT1G36370,AT1G50480,AT2G12200,AT2G12280,AT3G10160,AT3G55630,AT4G13890,AT4G13930,AT4G32520,AT4G37930,AT5G05980,AT5G26780,AT5G41480
	aracyc:PWY-2161B	glutamate removal from folates	AraCyc	1	AT1G78670
	aracyc:PWY-2161B-PMN	folate polyglutamylation II	AraCyc	3	AT1G78670,AT3G55630,AT5G05980
	aracyc:PWY-2181	free phenylpropanoid acid biosynthesis	AraCyc	9	AT1G33030,AT1G51990,AT1G74540,AT1G74550,AT2G40890,AT4G26220,AT4G36220,AT5G09970,AT5G54160
	aracyc:PWY-2261	ascorbate glutathione cycle	AraCyc	15	AT1G07890,AT1G19550,AT1G19570,AT1G75270,AT1G77370,AT1G77490,AT3G09640,AT4G08390,AT4G08550,AT4G09010,AT4G32320,AT4G35000,AT4G35970,AT5G16710,AT5G20500
